Year,Metabolite,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
2017,MDMA,BE,Ruisbroek (Puurs),10.77,11.42,11.06,8.68,10.74,12.08,11.19,11.13,10.64,10.85
2017,MDMA,CH,Basel,10.28,10.6,,36.11,78.39,33.68,18.82,13.23,49.39,31.31
2017,MDMA,CH,Berne,14.05,9.89,18.64,49.28,77.87,41.45,19.85,14.6,46.81,33
2017,MDMA,CH,Geneva,18.05,22.48,33.33,76.78,88.77,65.47,25.38,21.97,66.09,47.18
2017,MDMA,CH,St. Gallen Hofen,7.48,8.97,23.02,41.28,65.87,36.34,11.93,9.46,41.63,27.84
2017,MDMA,CH,Zurich,34.82,59.11,31.31,85.8,197.21,114.24,45.92,46.61,107.14,81.2
2017,MDMA,CY,Limassol,4.57,4.14,04.03,11.87,21.78,10.91,6.61,5.1,12.15,9.13
2017,MDMA,CZ,Brno,5.72,7.77,11.5,76.11,52.73,15.6,8.25,7.24,38.99,25.38
2017,MDMA,CZ,České Budějovice,4.69,4.83,10.6,9.1,24.06,26.28,17.77,9.1,17.51,13.91
2017,MDMA,DE,Berlin (4),46.21,30.03,21.38,21.67,67.68,84.98,76.43,50.89,48.93,49.77
2017,MDMA,DE,Chemnitz,3.54,7.44,05.03,14.56,19.84,12.27,05.06,5.35,12.92,9.68
2017,MDMA,DE,Dortmund,9.45,10.91,19.25,21.93,31.65,24.09,12.68,11.01,24.23,18.56
2017,MDMA,DE,Dresden,4.17,4.15,4.75,10.85,22.4,14.13,6.5,4.94,13.03,9.57
2017,MDMA,DE,Dülmen,2.64,07.08,24.62,22.71,10.1,5.9,2.27,4,15.83,10.76
2017,MDMA,DE,Erfurt,3.69,3.62,4.72,11.88,14.6,9.12,5.67,4.32,10.08,7.61
2017,MDMA,DE,Frankfurt (3),41.57,14.23,11.06,22.16,35.17,20.75,13.02,22.94,22.28,22.57
2017,MDMA,DE,Hamburg N,9.85,09.02,9.68,21.61,29.84,24.94,15.45,11.44,21.52,17.2
2017,MDMA,DE,Hannover (2),17.09,14.41,15.98,18.61,35.87,30.62,21.29,17.59,25.27,21.98
2017,MDMA,DE,Magdeburg,13.22,12.19,10.97,32.3,39.44,27.04,29.3,18.24,27.44,23.49
2017,MDMA,DE,Mainz,12.75,41.58,25.45,35.02,22.37,29.11,15.56,23.29,27.99,25.98
2017,MDMA,DE,Munich G,7.29,07.06,8.25,34.55,57.27,28.35,14.47,9.6,32.1,22.46
2017,MDMA,DE,Nuremberg,4.91,3.29,6.58,20.61,31.93,19.68,8.6,5.6,19.7,13.66
2017,MDMA,DE,Rostock,11.28,15.76,10.11,19.7,36.48,31.21,12.24,13.09,24.37,19.54
2017,MDMA,DE,Saarbrücken (2),15.05,33.53,24.15,20.9,33.54,30.22,17.78,22.12,27.2,25.02
2017,MDMA,DE,Stuttgart,9.13,8.82,41.49,32.49,,32.55,14.52,10.83,35.51,23.17
2017,MDMA,ES,Barcelona,25.25,36.66,24.2,42.27,74.94,89.58,43.52,35.14,57.75,48.06
